name,name_variants,coordinates,notes,related_documents_count,related_people_count,related_events_count,url
Qayrawān,Kairouan,"35° 40′ 1″ N, 10° 6′ 3″ E",,7,7,0,https://test-geniza.cdh.princeton.edu/places/qayrawan/
Qūṣ,,"25° 55′ 47″ N, 32° 46′ 12″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/qus/
Sciacca,,"37° 30′ 32″ N, 13° 5′ 20″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/sciacca/
Sfax,Ṣafāqis,"34° 44′ 24″ N, 10° 45′ 35″ E",,2,1,1,https://test-geniza.cdh.princeton.edu/places/sfax/
Sharbīn,شربين,"31° 11′ 24″ N, 31° 31′ 11″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/sharbin/
Shingli,"Chendamangalam, Kodungallur","10° 13′ 12″ N, 76° 13′ 11″ E",,3,0,0,https://test-geniza.cdh.princeton.edu/places/shingli/
Sijilmāsa,,"31° 16′ 48″ N, 4° 16′ 48″ W",,0,1,0,https://test-geniza.cdh.princeton.edu/places/sijilmasa/
Sūsa,"Soussa, Sousse","35° 49′ 47″ N, 10° 37′ 48″ E",,2,0,0,https://test-geniza.cdh.princeton.edu/places/susa/
Suwākin,,"19° 6′ 0″ N, 37° 19′ 47″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/suwakin/
Tānā,"Thana, Thane","19° 11′ 49″ N, 72° 58′ 11″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/tana/
Tlemcen,تلمسان,"34° 52′ 48″ N, 1° 19′ 12″ W",,1,0,0,https://test-geniza.cdh.princeton.edu/places/tlemcen/
Toledo,Ṭulayṭula,"39° 51′ 35″ N, 4° 1′ 38″ W",,1,1,0,https://test-geniza.cdh.princeton.edu/places/toledo/
Trapani,,"38° 1′ 1″ N, 12° 30′ 54″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/trapani/
Tripoli (Libya),"طرابلس, طرابلس الغرب, Ṭarābulus","32° 53′ 24″ N, 13° 11′ 23″ E",,2,0,0,https://test-geniza.cdh.princeton.edu/places/tripoli-libya/
Tunis,تونس,"36° 48′ 21″ N, 10° 10′ 55″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/tunis/
Turūja,تروجة,"30° 30′ 0″ N, 30° 6′ 0″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/turuja/
Tyre,,"33° 16′ 13″ N, 35° 13′ 50″ E",,2,0,0,https://test-geniza.cdh.princeton.edu/places/tyre/
Wāsiț,,"32° 11′ 16″ N, 46° 17′ 52″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/wasit/
Dahbattan,"Dahfattan, Darmattan, Dharmapattanam","11° 46′ 38″ N, 75° 28′ 13″ E",,2,1,0,https://test-geniza.cdh.princeton.edu/places/None/
