document,document_id,source,location,doc_relation,notes,url,content,admin_url
T-S NS J375 (PGPID 1432),1432,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #129, pp. 431-432",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6127/change/
T-S NS J305 (PGPID 1428),1428,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #130, pp. 433-434",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6098/change/
T-S J1.47 (PGPID 1319),1319,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #131, pp. 435-439",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5484/change/
T-S J1.52 (PGPID 1320),1320,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #132, pp. 441-443",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5485/change/
ENA 1822a.41 (PGPID 649),649,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #133, pp. 443-444",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/900/change/
ENA 2591.14–15 (PGPID 662),662,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #134, pp. 444-450",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/973/change/
Bodl. MS heb. c 56/10 (PGPID 557),557,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #136, pp. 453-455",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/316/change/
T-S Ar.30.154 (PGPID 1255),1255,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #137, pp. 457-459",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5070/change/
T-S K3.21 (PGPID 1351),1351,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #139, pp. 465-466",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5625/change/
T-S 10J11.4 (PGPID 7871),7871,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #140, pp. 467",Edition,Transcription awaiting digitization on PGP,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2136/change/
T-S NS 320.48 (PGPID 1469),1469,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #141, p. 470",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5880/change/
T-S K6.44 (PGPID 1354),1354,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #142, pp. 471-473",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5628/change/
ENA 1822a.68 (PGPID 653),653,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #143, pp. 476",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/937/change/
Bodl. MS heb. d 68/101 (PGPID 589),589,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #144, pp. 477",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/436/change/
T-S 16.63 (PGPID 1745),1745,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #145, pp. 479",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3893/change/
T-S 13J8.25 (PGPID 1219),1219,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #147, pp. 482-483",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3670/change/
T-S 13J8.25 (PGPID 1205),1205,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).","Doc. #147, pp. 482-483",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3671/change/
CUL Or.1081 J66 + ENA 2738.1 (PGPID 6672),6672,"Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza (1976).",doc. 3,Edition ; Translation,ENA 2738.1 only,,None,https://geniza.princeton.edu/admin/footnotes/footnote/6742/change/
